:START_ID(Device),:END_ID(BIOS),:TYPE
DEV-DELL-0128,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-LENOVO-0129,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0130,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0131,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0132,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0133,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0134,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0135,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0136,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0137,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0138,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0139,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0140,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-HP-0141,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0142,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0143,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0144,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0145,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0146,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0147,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-DELL-0148,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0149,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-HP-0150,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0151,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-LENOVO-0152,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-DELL-0153,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0154,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0155,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-LENOVO-0156,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0157,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0158,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0159,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0160,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-HP-0161,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0162,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0163,BIOS-HP-0D090BB033,HAS_BIOS
DEV-LENOVO-0164,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-LENOVO-0165,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0166,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0167,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0168,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0169,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-LENOVO-0170,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-HP-0171,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-DELL-0172,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0173,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-LENOVO-0174,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-DELL-0175,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-LENOVO-0176,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-HP-0177,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0178,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0179,BIOS-HP-0D090BB033,HAS_BIOS
DEV-DELL-0180,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-LENOVO-0181,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-DELL-0182,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0183,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-HP-0184,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0185,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0186,BIOS-HP-418E526406,HAS_BIOS
DEV-HP-0187,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0188,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-DELL-0189,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0190,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0191,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0192,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0193,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0194,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-DELL-0195,BIOS-DELL-765C934D47,HAS_BIOS
DEV-HP-0196,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-DELL-0197,BIOS-DELL-765C934D47,HAS_BIOS
DEV-HP-0198,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-LENOVO-0199,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-DELL-0200,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0201,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0202,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-LENOVO-0203,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-LENOVO-0204,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-DELL-0205,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0206,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0207,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0208,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-DELL-0209,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0210,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-DELL-0211,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0212,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-LENOVO-0213,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0214,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0215,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-HP-0216,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-HP-0217,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0218,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0219,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-LENOVO-0220,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-HP-0221,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0222,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0223,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0224,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-LENOVO-0225,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-HP-0226,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-HP-0227,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0228,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-HP-0229,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0230,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0231,BIOS-HP-0D090BB033,HAS_BIOS
DEV-DELL-0232,BIOS-DELL-765C934D47,HAS_BIOS
DEV-LENOVO-0233,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0234,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0235,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0236,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-HP-0237,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0238,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-DELL-0239,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0240,BIOS-HP-0D090BB033,HAS_BIOS
DEV-LENOVO-0241,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0242,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0243,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-LENOVO-0244,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0245,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0246,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-LENOVO-0247,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-HP-0248,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0249,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0250,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0251,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0252,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0253,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0254,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-DELL-0255,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0256,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0257,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0258,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-DELL-0259,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0260,BIOS-HP-0D090BB033,HAS_BIOS
DEV-HP-0261,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-DELL-0262,BIOS-DELL-765C934D47,HAS_BIOS
DEV-DELL-0263,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0264,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-LENOVO-0265,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-HP-0266,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-DELL-0267,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0268,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-LENOVO-0269,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-DELL-0270,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-DELL-0271,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-DELL-0272,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-LENOVO-0273,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-LENOVO-0274,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-HP-0275,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-DELL-0276,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0277,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0278,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-LENOVO-0279,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-HP-0280,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0281,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0282,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-LENOVO-0283,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-LENOVO-0284,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-LENOVO-0285,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-DELL-0286,BIOS-DELL-765C934D47,HAS_BIOS
DEV-DELL-0287,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-DELL-0288,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-DELL-0289,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0290,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-LENOVO-0291,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-LENOVO-0292,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-HP-0293,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-DELL-0294,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-HP-0295,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-HP-0296,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0297,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-LENOVO-0298,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-LENOVO-0299,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-HP-0300,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-DELL-0301,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-HP-0302,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0303,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-HP-0304,BIOS-HP-0D090BB033,HAS_BIOS
DEV-HP-0305,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-LENOVO-0306,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-LENOVO-0307,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-LENOVO-0308,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-HP-0309,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-HP-0310,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-DELL-0311,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-HP-0312,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-HP-0313,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0314,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-HP-0315,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0316,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-LENOVO-0317,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-HP-0318,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-LENOVO-0319,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-DELL-0320,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-LENOVO-0321,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-LENOVO-0322,BIOS-LENOVO-EB5035EF03,HAS_BIOS
DEV-HP-0323,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-DELL-0324,BIOS-DELL-765C934D47,HAS_BIOS
DEV-LENOVO-0325,BIOS-LENOVO-BD26A42E6A,HAS_BIOS
DEV-DELL-0326,BIOS-DELL-23FD72083E,HAS_BIOS
DEV-HP-0327,BIOS-HP-418E526406,HAS_BIOS
DEV-HP-0328,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0329,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0330,BIOS-HP-0D090BB033,HAS_BIOS
DEV-HP-0331,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-HP-0332,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-HP-0333,BIOS-HP-418E526406,HAS_BIOS
DEV-HP-0334,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-LENOVO-0335,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-LENOVO-0336,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-DELL-0337,BIOS-DELL-A5A744D827,HAS_BIOS
DEV-HP-0338,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-HP-0339,BIOS-HP-418E526406,HAS_BIOS
DEV-HP-0340,BIOS-HP-418E526406,HAS_BIOS
DEV-LENOVO-0341,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-DELL-0342,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-DELL-0343,BIOS-DELL-86671D24B4,HAS_BIOS
DEV-DELL-0344,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-HP-0345,BIOS-HP-10090CF172,HAS_BIOS
DEV-DELL-0346,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-HP-0347,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-HP-0348,BIOS-HP-418E526406,HAS_BIOS
DEV-DELL-0349,BIOS-DELL-765C934D47,HAS_BIOS
DEV-DELL-0350,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0351,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0352,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-DELL-0353,BIOS-DELL-765C934D47,HAS_BIOS
DEV-LENOVO-0354,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-LENOVO-0355,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0356,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0357,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-LENOVO-0358,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0359,BIOS-DELL-68E0C8FF66,HAS_BIOS
DEV-HP-0360,BIOS-HP-9FF2A01DC1,HAS_BIOS
DEV-HP-0361,BIOS-HP-D78C28A42F,HAS_BIOS
DEV-LENOVO-0362,BIOS-LENOVO-4487D82AD1,HAS_BIOS
DEV-DELL-0363,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-DELL-0364,BIOS-DELL-DB904BD2DF,HAS_BIOS
DEV-LENOVO-0365,BIOS-LENOVO-E636F911BE,HAS_BIOS
DEV-DELL-0366,BIOS-DELL-2610A238A0,HAS_BIOS
DEV-LENOVO-0367,BIOS-LENOVO-ABFD1CDEDF,HAS_BIOS
DEV-HP-0368,BIOS-HP-10090CF172,HAS_BIOS
DEV-HP-0369,BIOS-HP-9C78C71C26,HAS_BIOS
DEV-HP-0370,BIOS-HP-418E526406,HAS_BIOS
DEV-LENOVO-0371,BIOS-LENOVO-D3C6DAF418,HAS_BIOS
DEV-DELL-0372,BIOS-DELL-7F9C62EE66,HAS_BIOS
DEV-LENOVO-0373,BIOS-LENOVO-4487D82AD1,HAS_BIOS
