:START_ID(Device),:END_ID(Firmware),:TYPE
DEV-HP-0079,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0080,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0081,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-HP-0082,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0083,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-LENOVO-0084,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-HP-0085,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-DELL-0086,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-HP-0087,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-DELL-0088,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-LENOVO-0089,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-LENOVO-0090,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-DELL-0091,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0092,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0093,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0094,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0095,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-LENOVO-0096,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0097,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0098,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0099,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0100,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0101,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-HP-0102,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-LENOVO-0103,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0104,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0105,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0106,FW-DELL-129603E273,HAS_FIRMWARE
DEV-HP-0107,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0108,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0109,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0110,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0111,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-DELL-0112,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0113,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0114,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-LENOVO-0115,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-LENOVO-0116,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-HP-0117,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0118,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0119,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-LENOVO-0120,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0121,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0122,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0123,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0124,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0125,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0126,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-DELL-0127,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0128,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0129,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-DELL-0130,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0131,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0132,FW-DELL-129603E273,HAS_FIRMWARE
DEV-HP-0133,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-DELL-0134,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0135,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0136,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-DELL-0137,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0138,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-HP-0139,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-DELL-0140,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0141,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0142,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0143,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0144,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0145,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-DELL-0146,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0147,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0148,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0149,FW-DELL-129603E273,HAS_FIRMWARE
DEV-HP-0150,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-DELL-0151,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-LENOVO-0152,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0153,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0154,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0155,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-LENOVO-0156,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-DELL-0157,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0158,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-DELL-0159,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0160,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-HP-0161,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-DELL-0162,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0163,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-LENOVO-0164,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-LENOVO-0165,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-DELL-0166,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0167,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0168,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-LENOVO-0169,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-LENOVO-0170,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-HP-0171,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-DELL-0172,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0173,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-LENOVO-0174,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-DELL-0175,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-LENOVO-0176,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-HP-0177,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0178,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0179,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0180,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-LENOVO-0181,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-DELL-0182,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-LENOVO-0183,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-HP-0184,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-DELL-0185,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0186,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0187,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-DELL-0188,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0189,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0190,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0191,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-LENOVO-0192,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-DELL-0193,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0194,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0195,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0196,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-DELL-0197,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0198,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-LENOVO-0199,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-DELL-0200,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0201,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-HP-0202,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-LENOVO-0203,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-LENOVO-0204,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-DELL-0205,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0206,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0207,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0208,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-DELL-0209,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0210,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0211,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0212,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-LENOVO-0213,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0214,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0215,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0216,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0217,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-DELL-0218,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0219,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-LENOVO-0220,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-HP-0221,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-HP-0222,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-DELL-0223,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0224,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0225,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-HP-0226,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0227,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-DELL-0228,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-HP-0229,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0230,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0231,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0232,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0233,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-DELL-0234,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0235,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0236,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0237,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-DELL-0238,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0239,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-HP-0240,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-LENOVO-0241,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-DELL-0242,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0243,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-LENOVO-0244,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-DELL-0245,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0246,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-LENOVO-0247,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-HP-0248,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0249,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0250,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0251,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0252,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0253,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-DELL-0254,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0255,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-LENOVO-0256,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-DELL-0257,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-LENOVO-0258,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-DELL-0259,FW-DELL-129603E273,HAS_FIRMWARE
DEV-HP-0260,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-HP-0261,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0262,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0263,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0264,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-LENOVO-0265,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-HP-0266,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0267,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0268,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-LENOVO-0269,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-DELL-0270,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0271,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0272,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0273,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-LENOVO-0274,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-HP-0275,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0276,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-HP-0277,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0278,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-LENOVO-0279,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-HP-0280,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-DELL-0281,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0282,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-LENOVO-0283,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-LENOVO-0284,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-LENOVO-0285,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-DELL-0286,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0287,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0288,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-DELL-0289,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-LENOVO-0290,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-LENOVO-0291,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-LENOVO-0292,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-HP-0293,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-DELL-0294,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0295,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-HP-0296,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-DELL-0297,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0298,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-LENOVO-0299,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-HP-0300,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-DELL-0301,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0302,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-DELL-0303,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0304,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-HP-0305,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-LENOVO-0306,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-LENOVO-0307,FW-LENOVO-4CB55B3F1C,HAS_FIRMWARE
DEV-LENOVO-0308,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-HP-0309,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0310,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-DELL-0311,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0312,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0313,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-DELL-0314,FW-DELL-129603E273,HAS_FIRMWARE
DEV-HP-0315,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0316,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-LENOVO-0317,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-HP-0318,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-LENOVO-0319,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-DELL-0320,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-LENOVO-0321,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-LENOVO-0322,FW-LENOVO-0DD96320CD,HAS_FIRMWARE
DEV-HP-0323,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-DELL-0324,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0325,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-DELL-0326,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-HP-0327,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-HP-0328,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0329,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-HP-0330,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-HP-0331,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0332,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-HP-0333,FW-HP-BAF238AC37,HAS_FIRMWARE
DEV-HP-0334,FW-HP-6B4840EB70,HAS_FIRMWARE
DEV-LENOVO-0335,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
DEV-LENOVO-0336,FW-LENOVO-97EC8A8CE2,HAS_FIRMWARE
DEV-DELL-0337,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0338,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-HP-0339,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-HP-0340,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-LENOVO-0341,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-DELL-0342,FW-DELL-129603E273,HAS_FIRMWARE
DEV-DELL-0343,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-DELL-0344,FW-DELL-8EDB54E5E5,HAS_FIRMWARE
DEV-HP-0345,FW-HP-1C4F3E8E9C,HAS_FIRMWARE
DEV-DELL-0346,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-HP-0347,FW-HP-7468C1BBEC,HAS_FIRMWARE
DEV-HP-0348,FW-HP-75C813DB5B,HAS_FIRMWARE
DEV-DELL-0349,FW-DELL-6A3BCECC3A,HAS_FIRMWARE
DEV-DELL-0350,FW-DELL-129603E273,HAS_FIRMWARE
DEV-LENOVO-0351,FW-LENOVO-53F5B3BC89,HAS_FIRMWARE
DEV-DELL-0352,FW-DELL-A0AC1F14D6,HAS_FIRMWARE
DEV-DELL-0353,FW-DELL-A8332BCBA5,HAS_FIRMWARE
DEV-LENOVO-0354,FW-LENOVO-3FB22C6BCF,HAS_FIRMWARE
